24.6.2008: +22, 740, СВ 2м/с, +20, 739, СВ 2м/с
25.6.2008: +17, 738, В 1м/с, +17, 738, В 1м/с
26.6.2008: +20, 740, З 2м/с, +15, 742, З 2м/с
27.6.2008: +20, 745, СЗ 3м/с, +15, 746, СЗ 3м/с
28.6.2008: +23, 747, СЗ 2м/с, +16, 747, СЗ 2м/с
29.6.2008: +21, 744, ЮЗ 2м/с, +16, 744, ЮЗ 2м/с
30.6.2008: +21, 739, В 1м/с, +19, 738, В 1м/с
1.7.2008: +19, 738, З 1м/с, +17, 738, З 1м/с
2.7.2008: +21, 738, Ш, +18, 738, Ш
3.7.2008: +21, 738, С 2м/с, +19, 738, С 2м/с
4.7.2008: +23, 739, СВ 2м/с, +19, 739, СВ 2м/с
5.7.2008: +24, 738, В 2м/с, +18, 738, В 2м/с
6.7.2008: +27, 741, ЮВ 1м/с, +24, 741, ЮВ 1м/с
7.7.2008: +28, 743, Ю 3м/с, +21, 744, Ю 3м/с
8.7.2008: +24, 746, СВ 1м/с, +23, 744, СВ 1м/с
9.7.2008: +26, 743, С 2м/с, +22, 743, С 2м/с
10.7.2008: +26, 744, Ю 3м/с, +22, 743, Ю 3м/с
11.7.2008: +28, 744, ЮЗ 2м/с, +24, 744, ЮЗ 2м/с
12.7.2008: +21, 742, Ю 2м/с, +19, 742, Ю 2м/с
13.7.2008: +23, 744, СЗ 2м/с, +18, 745, СЗ 2м/с
14.7.2008: +27, 748, З 2м/с, +23, 748, З 2м/с
15.7.2008: +30, 748, СЗ 2м/с, +25, 747, СЗ 2м/с
16.7.2008: +32, 746, С 1м/с, +24, 745, С 1м/с
17.7.2008: +32, 746, С 2м/с, +27, 747, С 2м/с
18.7.2008: +31, 748, В 3м/с, +25, 747, В 3м/с
19.7.2008: +31, 747, В 2м/с, +22, 746, В 2м/с
20.7.2008: +31, 744, В 1м/с, +28, 744, В 1м/с
21.7.2008: +25, 747, Ю 1м/с, +22, 747, Ю 1м/с
22.7.2008: +28, 748, С 2м/с, +24, 748, С 2м/с
23.7.2008: +32, 749, СВ 1м/с, +27, 750, СВ 1м/с
24.7.2008: +31, 749, В 1м/с, +24, 748, В 1м/с
25.7.2008: +27, 746, С 2м/с, +22, 746, С 2м/с
26.7.2008: +26, 745, С 1м/с, +22, 745, С 1м/с
27.7.2008: +22, 744, Ш, +20, 744, Ш
28.7.2008: +15, 741, СВ 3м/с, +15, 741, СВ 3м/с
29.7.2008: +24, 744, З 1м/с, +16, 744, З 1м/с
30.7.2008: +21, 747, ЮЗ 4м/с, +17, 747, ЮЗ 4м/с
31.7.2008: +23, 749, З 2м/с, +16, 750, З 2м/с
1.8.2008: +23, 750, ЮЗ 2м/с, +15, 750, ЮЗ 2м/с
2.8.2008: +24, 747, ЮЗ 1м/с, +17, 747, ЮЗ 1м/с
3.8.2008: +25, 747, З 3м/с, +19, 747, З 3м/с
4.8.2008: +23, 742, С 2м/с, +20, 742, С 2м/с
5.8.2008: +24, 744, З 2м/с, +21, 741, З 2м/с
6.8.2008: +21, 738, ЮЗ 3м/с, +19, 736, ЮЗ 3м/с
7.8.2008: +17, 736, СЗ 1м/с, +12, 738, СЗ 1м/с
8.8.2008: +13, 743, ЮЗ 3м/с, +12, 746, ЮЗ 3м/с
9.8.2008: +20, 748, З 2м/с, +15, 748, З 2м/с
10.8.2008: +23, 749, З 3м/с, +20, 748, З 3м/с
11.8.2008: +30, 749, ЮЗ 3м/с, +20, 749, ЮЗ 3м/с
12.8.2008: +31, 750, З 1м/с, +22, 749, З 1м/с
13.8.2008: +33, 751, З 1м/с, +22, 751, З 1м/с
