13-9-2018, +24, 752, З 2м/с, +22, 750, З 2м/с
14-9-2018, +18, 753, В 1м/с, +16, 753, В 1м/с
15-9-2018, +23, 752, В 2м/с, +17, 752, В 2м/с
16-9-2018, +26, 749, В 2м/с, +20, 748, В 2м/с
17-9-2018, +19, 745, СЗ 2м/с, , , 
20-9-2018, +17, 746, З 3м/с, +13, 746, З 3м/с
21-9-2018, +16, 750, СЗ 2м/с, +14, 752, СЗ 2м/с
22-9-2018, +22, 753, ЮЗ 1м/с, +14, 753, ЮЗ 1м/с
23-9-2018, +24, 751, Ю 3м/с, +18, 749, Ю 3м/с
24-9-2018, +17, 746, В 2м/с, +15, 746, В 2м/с
25-9-2018, +19, 746, Ю 2м/с, +18, 746, Ю 2м/с
26-9-2018, +12, 752, З 2м/с, +10, 753, З 2м/с
27-9-2018, +11, 747, ЮЗ 3м/с, +7, 745, ЮЗ 3м/с
28-9-2018, +14, 746, З 3м/с, +13, 745, З 3м/с
29-9-2018, +15, 749, З 1м/с, +12, 749, З 1м/с
30-9-2018, +10, 754, СЗ 2м/с, +2, 755, СЗ 2м/с
1-10-2018, +13, 755, З 3м/с, +9, 756, З 3м/с
2-10-2018, +15, 755, ЮЗ 2м/с, +11, 753, ЮЗ 2м/с
3-10-2018, +20, 747, Ю 2м/с, +18, 745, Ю 2м/с
4-10-2018, +15, 742, З 4м/с, +11, 744, З 4м/с
5-10-2018, +9, 744, СЗ 2м/с, +6, 748, СЗ 2м/с
6-10-2018, +8, 752, З 3м/с, +7, 752, З 3м/с
7-10-2018, +17, 752, З 5м/с, +13, 753, З 5м/с
8-10-2018, +18, 752, ЮЗ 4м/с, +14, 754, ЮЗ 4м/с
9-10-2018, +7, 758, В 1м/с, +7, 758, В 1м/с
10-10-2018, +15, 755, ЮЗ 2м/с, +13, 752, ЮЗ 2м/с
11-10-2018, +11, 750, СЗ 4м/с, +8, 752, СЗ 4м/с
12-10-2018, +8, 756, СЗ 3м/с, +8, 755, СЗ 3м/с
13-10-2018, +9, 755, СЗ 2м/с, +5, 754, СЗ 2м/с
14-10-2018, +7, 755, СЗ 1м/с, +4, 755, СЗ 1м/с
15-10-2018, +9, 755, ЮЗ 2м/с, +9, 755, ЮЗ 2м/с
16-10-2018, +18, 753, СЗ 3м/с, +13, 753, СЗ 3м/с
17-10-2018, +15, 751, СЗ 4м/с, +11, 755, СЗ 4м/с
18-10-2018, +12, 756, ЮЗ 1м/с, +9, 755, ЮЗ 1м/с
19-10-2018, +17, 751, З 3м/с, +13, 750, З 3м/с
20-10-2018, +13, 749, З 2м/с, +8, 751, З 2м/с
21-10-2018, +8, 755, С 1м/с, +7, 757, С 1м/с
22-10-2018, +9, 757, З 1м/с, +6, 755, З 1м/с
23-10-2018, +10, 747, ЮВ 2м/с, +9, 743, ЮВ 2м/с
24-10-2018, +11, 740, ЮЗ 1м/с, +9, 740, ЮЗ 1м/с
25-10-2018, +12, 734, Ю 1м/с, +11, 731, Ю 1м/с
26-10-2018, +7, 737, ЮЗ 2м/с, +5, 740, ЮЗ 2м/с
27-10-2018, +4, 749, З 2м/с, +3, 750, З 2м/с
28-10-2018, +7, 745, З 3м/с, +8, 749, З 3м/с
29-10-2018, +3, 759, С 1м/с, -1, 763, С 1м/с
30-10-2018, 0, 768, СВ 1м/с, -3, 770, СВ 1м/с
31-10-2018, +3, 772, СЗ 1м/с, -3, 772, СЗ 1м/с
1-11-2018, +3, 772, З 3м/с, 0, 771, З 3м/с
2-11-2018, +5, 767, З 4м/с, +4, 767, З 4м/с
3-11-2018, +7, 763, З 2м/с, +5, 761, З 2м/с
4-11-2018, +4, 752, З 4м/с, +5, 750, З 4м/с
5-11-2018, +6, 756, С 1м/с, +4, 758, С 1м/с
6-11-2018, +5, 759, СЗ 1м/с, +3, 758, СЗ 1м/с
7-11-2018, +4, 757, З 2м/с, +2, 756, З 2м/с
8-11-2018, +2, 753, З 1м/с, +2, 754, З 1м/с
9-11-2018, +1, 758, СВ 1м/с, -1, 758, СВ 1м/с
10-11-2018, -3, 761, СВ 4м/с, -7, 765, СВ 4м/с
11-11-2018, -5, 774, В 2м/с, -7, 776, В 2м/с
12-11-2018, -6, 776, Ю 1м/с, -8, 775, Ю 1м/с
13-11-2018, -5, 773, СЗ 1м/с, -10, 771, СЗ 1м/с
14-11-2018, -5, 768, З 1м/с, -8, 767, З 1м/с
15-11-2018, -5, 770, В 1м/с, -10, 770, В 1м/с
16-11-2018, -2, 770, З 1м/с, -9, 770, З 1м/с
17-11-2018, 0, 761, З 4м/с, +1, 757, З 4м/с
18-11-2018, +3, 755, З 1м/с, -1, 755, З 1м/с
19-11-2018, +1, 757, З 1м/с, 0, 757, З 1м/с
20-11-2018, +1, 753, СЗ 1м/с, -1, 752, СЗ 1м/с
21-11-2018, -2, 744, З 3м/с, -1, 743, З 3м/с
22-11-2018, -3, 740, ЮЗ 4м/с, -4, 735, ЮЗ 4м/с
23-11-2018, -7, 743, СЗ 4м/с, -7, 748, СЗ 4м/с
24-11-2018, -5, 747, З 6м/с, -4, 749, З 6м/с
25-11-2018, -4, 747, З 3м/с, -4, 749, З 3м/с
26-11-2018, -5, 745, Ю 1м/с, -4, 744, Ю 1м/с
27-11-2018, -4, 748, Ш, -8, 749, Ш
28-11-2018, -8, 746, С 1м/с, -8, 749, С 1м/с
29-11-2018, -11, 761, СЗ 2м/с, -13, 765, СЗ 2м/с
30-11-2018, -8, 769, З 4м/с, -10, 770, З 4м/с
1-12-2018, -9, 770, З 1м/с, -13, 769, З 1м/с
2-12-2018, -10, 763, ЮВ 2м/с, -11, 761, ЮВ 2м/с
3-12-2018, -3, 758, Ю 1м/с, -4, 759, Ю 1м/с
4-12-2018, -3, 761, ЮВ 1м/с, -3, 761, ЮВ 1м/с
5-12-2018, -5, 761, ЮВ 1м/с, -8, 760, ЮВ 1м/с
6-12-2018, -7, 755, В 3м/с, -7, 753, В 3м/с
7-12-2018, -6, 749, В 2м/с, -6, 749, В 2м/с
8-12-2018, -2, 752, В 1м/с, -2, 752, В 1м/с
9-12-2018, -3, 752, Ю 2м/с, -4, 753, Ю 2м/с
10-12-2018, -3, 755, Ю 3м/с, -3, 756, Ю 3м/с
11-12-2018, -5, 755, В 2м/с, -7, 755, В 2м/с
12-12-2018, -7, 752, В 4м/с, -5, 752, В 4м/с
13-12-2018, -2, 752, В 1м/с, -3, 752, В 1м/с
14-12-2018, -3, 751, В 4м/с, -3, 751, В 4м/с
15-12-2018, -1, 755, СВ 3м/с, -3, 757, СВ 3м/с
16-12-2018, -8, 761, С 2м/с, -8, 762, С 2м/с
17-12-2018, -6, 763, Ш, -6, 764, Ш
18-12-2018, -8, 765, В 1м/с, -9, 766, В 1м/с
19-12-2018, -9, 767, В 1м/с, -10, 768, В 1м/с
20-12-2018, -10, 769, В 2м/с, -10, 768, В 2м/с
21-12-2018, -13, 765, ЮВ 1м/с, -15, 764, ЮВ 1м/с
22-12-2018, -15, 758, В 2м/с, -14, 756, В 2м/с
23-12-2018, -11, 755, ЮВ 2м/с, -11, 754, ЮВ 2м/с
24-12-2018, -9, 753, В 4м/с, -10, 755, В 4м/с
25-12-2018, -12, 755, В 3м/с, -12, 755, В 3м/с
26-12-2018, -8, 747, ЮВ 4м/с, -9, 745, ЮВ 4м/с
27-12-2018, -5, 745, В 3м/с, -5, 745, В 3м/с
28-12-2018, -4, 742, СЗ 1м/с, -6, 744, СЗ 1м/с
29-12-2018, -10, 751, З 1м/с, -11, 752, З 1м/с
30-12-2018, -13, 757, З 1м/с, -16, 758, З 1м/с
31-12-2018, -16, 761, ЮЗ 1м/с, -19, 761, ЮЗ 1м/с
