1-1-2016, -16, 762, СВ 2м/с, -18, 762, СВ 2м/с
9-12-2016, -7, 737, З 1м/с, -6, 737, З 1м/с

10-12-2016, -5, 730, З 2м/с, -4, 730, З 2м/с

11-12-2016, -11, 737, СЗ 3м/с, -15, 740, СЗ 3м/с

12-12-2016, -15, 743, З 1м/с, -16, 743, З 1м/с

13-12-2016, -15, 746, СЗ 2м/с, -17, 749, СЗ 2м/с

14-12-2016, -18, 751, З 2м/с, -19, 752, З 2м/с

15-12-2016, -18, 751, ЮЗ 1м/с, -20, 752, ЮЗ 1м/с

16-12-2016, -21, 757, С 2м/с, -23, 758, С 2м/с

17-12-2016, -19, 755, З 3м/с, -16, 752, З 3м/с

18-12-2016, -9, 746, З 3м/с, -7, 746, З 3м/с

19-12-2016, -2, 743, З 2м/с, -3, 743, З 2м/с

20-12-2016, -21, 758, С 1м/с, -25, 760, С 1м/с

21-12-2016, -15, 751, З 3м/с, -10, 748, З 3м/с

22-12-2016, -19, 758, СВ 2м/с, -19, 761, СВ 2м/с

23-12-2016, -12, 758, Ю 1м/с, -9, 757, Ю 1м/с

24-12-2016, -7, 752, ЮЗ 2м/с, -7, 752, ЮЗ 2м/с

25-12-2016, -8, 753, В 1м/с, -8, 753, В 1м/с

26-12-2016, -7, 752, З 1м/с, -7, 750, З 1м/с

27-12-2016, -4, 746, ЮЗ 4м/с, -5, 746, ЮЗ 4м/с

28-12-2016, -3, 749, ЮЗ 2м/с, -3, 751, ЮЗ 2м/с

29-12-2016, -2, 757, З 2м/с, -3, 758, З 2м/с

30-12-2016, -5, 755, З 1м/с, -5, 754, З 1м/с

31-12-2016, -4, 747, З 5м/с, -3, 744, З 5м/с

